source,target,category
E. M. Purcell,Physics,Physics
E. M. Purcell,North America,Physics
Albert Schweitzer,Peace,Peace
Albert Schweitzer,,Peace
Archer J.P. Martin,Chemistry,Chemistry
Archer J.P. Martin,Europe,Chemistry
Selman A. Waksman,Medicine,Medicine
Selman A. Waksman,North America,Medicine
François Mauriac,Literature,Literature
François Mauriac,,Literature
Felix Bloch,Physics,Physics
Felix Bloch,North America,Physics
Richard L.M. Synge,Chemistry,Chemistry
Richard L.M. Synge,Europe,Chemistry
Winston Churchill,Literature,Literature
Winston Churchill,,Literature
Hermann Staudinger,Chemistry,Chemistry
Hermann Staudinger,Europe,Chemistry
Fritz Lipmann,Medicine,Medicine
Fritz Lipmann,North America,Medicine
Hans Krebs,Medicine,Medicine
Hans Krebs,Europe,Medicine
Frits Zernike,Physics,Physics
Frits Zernike,Europe,Physics
George C. Marshall,Peace,Peace
George C. Marshall,,Peace
Max Born,Physics,Physics
Max Born,Europe,Physics
Thomas H. Weller,Medicine,Medicine
Thomas H. Weller,North America,Medicine
John F. Enders,Medicine,Medicine
John F. Enders,North America,Medicine
Linus Pauling,Chemistry,Chemistry
Linus Pauling,North America,Chemistry
Ernest Hemingway,Literature,Literature
Ernest Hemingway,,Literature
Frederick C. Robbins,Medicine,Medicine
Frederick C. Robbins,North America,Medicine
Walther Bothe,Physics,Physics
Walther Bothe,Europe,Physics
Hugo Theorell,Medicine,Medicine
Hugo Theorell,Europe,Medicine
Halldór Laxness,Literature,Literature
Halldór Laxness,,Literature
Polykarp Kusch,Physics,Physics
Polykarp Kusch,North America,Physics
Willis E. Lamb,Physics,Physics
Willis E. Lamb,North America,Physics
Vincent du Vigneaud,Chemistry,Chemistry
Vincent du Vigneaud,North America,Chemistry
Dickinson W. Richards,Medicine,Medicine
Dickinson W. Richards,North America,Medicine
Walter H. Brattain,Physics,Physics
Walter H. Brattain,North America,Physics
Werner Forssmann,Medicine,Medicine
Werner Forssmann,Europe,Medicine
André F. Cournand,Medicine,Medicine
André F. Cournand,North America,Medicine
Nikolay Semenov,Chemistry,Chemistry
Nikolay Semenov,Russia,Chemistry
John Bardeen,Physics,Physics
John Bardeen,North America,Physics
William B. Shockley,Physics,Physics
William B. Shockley,North America,Physics
Sir Cyril Hinshelwood,Chemistry,Chemistry
Sir Cyril Hinshelwood,Europe,Chemistry
Juan Ramón Jiménez,Literature,Literature
Juan Ramón Jiménez,,Literature
Lester Bowles Pearson,Peace,Peace
Lester Bowles Pearson,,Peace
Chen Ning Yang,Physics,Physics
Chen Ning Yang,North America,Physics
Lord Todd,Chemistry,Chemistry
Lord Todd,Europe,Chemistry
