source,target,weight
Tsung-Dao Lee,Physics,1
Tsung-Dao Lee,North America,1
Pavel A. Cherenkov,Physics,1
Pavel A. Cherenkov,Russia,1
Boris Pasternak,Literature,1
George Beadle,Medicine,1
George Beadle,North America,1
Frederick Sanger,Chemistry,1
Frederick Sanger,Europe,1
Igor Y. Tamm,Physics,1
Igor Y. Tamm,Russia,1
Georges Pire,Peace,1
Il´ja M. Frank,Physics,1
Il´ja M. Frank,Russia,1
Edward Tatum,Medicine,1
Edward Tatum,North America,1
Joshua Lederberg,Medicine,1
Joshua Lederberg,North America,1
Emilio Segrè,Physics,1
Emilio Segrè,North America,1
Salvatore Quasimodo,Literature,1
Jaroslav Heyrovsky,Chemistry,1
Jaroslav Heyrovsky,Europe,1
Philip Noel-Baker,Peace,1
Owen Chamberlain,Physics,1
Owen Chamberlain,North America,1
Arthur Kornberg,Medicine,1
Arthur Kornberg,North America,1
Severo Ochoa,Medicine,1
Severo Ochoa,North America,1
Donald A. Glaser,Physics,1
Donald A. Glaser,North America,1
Peter Medawar,Medicine,1
Peter Medawar,Europe,1
Sir Frank Macfarlane Burnet,Medicine,1
Sir Frank Macfarlane Burnet,Australia,1
Willard F. Libby,Chemistry,1
Willard F. Libby,North America,1
Albert Luthuli,Peace,1
Saint-John Perse,Literature,1
Ivo Andric,Literature,1
Dag Hammarskjöld,Peace,1
Georg von Békésy,Medicine,1
Georg von Békésy,North America,1
Rudolf Mössbauer,Physics,1
Rudolf Mössbauer,Europe,1
Robert Hofstadter,Physics,1
Robert Hofstadter,North America,1
Melvin Calvin,Chemistry,1
Melvin Calvin,North America,1
Maurice Wilkins,Medicine,1
Maurice Wilkins,Europe,1
James Watson,Medicine,1
James Watson,North America,1
Linus Pauling,Peace,1
Linus Pauling,North America,1
John C. Kendrew,Chemistry,1
John C. Kendrew,Europe,1
Max F. Perutz,Chemistry,1
Max F. Perutz,Europe,1
Francis Crick,Medicine,1
Francis Crick,Europe,1
John Steinbeck,Literature,1
Lev Landau,Physics,1
Lev Landau,Russia,1
Giulio Natta,Chemistry,1
Giulio Natta,Europe,1
Giorgos Seferis,Literature,1
Eugene Wigner,Physics,1
Eugene Wigner,North America,1
Alan Hodgkin,Medicine,1
Alan Hodgkin,Europe,1
Andrew Huxley,Medicine,1
Andrew Huxley,Europe,1
Karl Ziegler,Chemistry,1
Karl Ziegler,Europe,1
J. Hans D. Jensen,Physics,1
J. Hans D. Jensen,Europe,1
Maria Goeppert Mayer,Physics,1
Maria Goeppert Mayer,North America,1
Sir John Eccles,Medicine,1
Sir John Eccles,Australia,1
Dorothy Crowfoot Hodgkin,Chemistry,1
Dorothy Crowfoot Hodgkin,Europe,1
Nicolay G. Basov,Physics,1
Nicolay G. Basov,Russia,1
Konrad Bloch,Medicine,1
Konrad Bloch,North America,1
Jean-Paul Sartre,Literature,1
Charles H. Townes,Physics,1
Charles H. Townes,North America,1
Feodor Lynen,Medicine,1
Feodor Lynen,Europe,1
Aleksandr M. Prokhorov,Physics,1
Aleksandr M. Prokhorov,Russia,1
Martin Luther King Jr.,Peace,1
Jacques Monod,Medicine,1
Jacques Monod,Europe,1
Sin-Itiro Tomonaga,Physics,1
Sin-Itiro Tomonaga,Japan,1
Julian Schwinger,Physics,1
Julian Schwinger,North America,1
Mikhail Sholokhov,Literature,1
André Lwoff,Medicine,1
André Lwoff,Europe,1
Richard P. Feynman,Physics,1
Richard P. Feynman,North America,1
Robert B. Woodward,Chemistry,1
Robert B. Woodward,North America,1
François Jacob,Medicine,1
François Jacob,Europe,1
Shmuel Agnon,Literature,1
Charles B. Huggins,Medicine,1
Charles B. Huggins,North America,1
Peyton Rous,Medicine,1
Peyton Rous,North America,1
Alfred Kastler,Physics,1
Alfred Kastler,Europe,1
Robert S. Mulliken,Chemistry,1
Robert S. Mulliken,North America,1
Nelly Sachs,Literature,1
Hans Bethe,Physics,1
Hans Bethe,North America,1
Miguel Angel Asturias,Literature,1
Ronald G.W. Norrish,Chemistry,1
Ronald G.W. Norrish,Europe,1
Ragnar Granit,Medicine,1
Ragnar Granit,Europe,1
Keffer Hartline,Medicine,1
Keffer Hartline,North America,1
George Porter,Chemistry,1
George Porter,Europe,1
Manfred Eigen,Chemistry,1
Manfred Eigen,Europe,1
George Wald,Medicine,1
George Wald,North America,1
Yasunari Kawabata,Literature,1
Marshall W. Nirenberg,Medicine,1
Marshall W. Nirenberg,North America,1
René Cassin,Peace,1
Lars Onsager,Chemistry,1
Lars Onsager,North America,1
H. Gobind Khorana,Medicine,1
H. Gobind Khorana,North America,1
Robert W. Holley,Medicine,1
Robert W. Holley,North America,1
Luis Alvarez,Physics,1
Luis Alvarez,North America,1
Samuel Beckett,Literature,1
Ragnar Frisch,Economic Sciences,1
Ragnar Frisch,Europe,1
Salvador E. Luria,Medicine,1
Salvador E. Luria,North America,1
Murray Gell-Mann,Physics,1
Murray Gell-Mann,North America,1
Max Delbrück,Medicine,1
Max Delbrück,North America,1
Derek Barton,Chemistry,1
Derek Barton,Europe,1
Jan Tinbergen,Economic Sciences,1
Jan Tinbergen,Europe,1
Alfred D. Hershey,Medicine,1
Alfred D. Hershey,North America,1
Odd Hassel,Chemistry,1
Odd Hassel,Europe,1
Louis Néel,Physics,1
Louis Néel,Europe,1
Norman Borlaug,Peace,1
Alexandr Solzhenitsyn,Literature,1
Julius Axelrod,Medicine,1
Julius Axelrod,North America,1
Luis Leloir,Chemistry,1
Luis Leloir,Argentina,1
Hannes Alfvén,Physics,1
Hannes Alfvén,Europe,1
Ulf von Euler,Medicine,1
Ulf von Euler,Europe,1
Sir Bernard Katz,Medicine,1
Sir Bernard Katz,Europe,1
Paul A. Samuelson,Economic Sciences,1
Paul A. Samuelson,North America,1
Gerhard Herzberg,Chemistry,1
Gerhard Herzberg,North America,1
Simon Kuznets,Economic Sciences,1
Simon Kuznets,North America,1
Dennis Gabor,Physics,1
Dennis Gabor,Europe,1
Pablo Neruda,Literature,1
Willy Brandt,Peace,1
"Earl W. Sutherland, Jr.",Medicine,1
"Earl W. Sutherland, Jr.",North America,1
John Bardeen,Physics,1
John Bardeen,North America,1
Kenneth J. Arrow,Economic Sciences,1
Kenneth J. Arrow,North America,1
Heinrich Böll,Literature,1
John R. Hicks,Economic Sciences,1
John R. Hicks,Europe,1
Christian Anfinsen,Chemistry,1
Christian Anfinsen,North America,1
Stanford Moore,Chemistry,1
Stanford Moore,North America,1
Rodney R. Porter,Medicine,1
Rodney R. Porter,Europe,1
Gerald M. Edelman,Medicine,1
Gerald M. Edelman,North America,1
Leon N. Cooper,Physics,1
Leon N. Cooper,North America,1
William H. Stein,Chemistry,1
William H. Stein,North America,1
Robert Schrieffer,Physics,1
Robert Schrieffer,North America,1
Brian D. Josephson,Physics,1
Brian D. Josephson,Europe,1
Ernst Otto Fischer,Chemistry,1
Ernst Otto Fischer,Europe,1
Wassily Leontief,Economic Sciences,1
Wassily Leontief,North America,1
Geoffrey Wilkinson,Chemistry,1
Geoffrey Wilkinson,Europe,1
Patrick White,Literature,1
Karl von Frisch,Medicine,1
Karl von Frisch,Europe,1
Nikolaas Tinbergen,Medicine,1
Nikolaas Tinbergen,Europe,1
Henry Kissinger,Peace,1
Ivar Giaever,Physics,1
Ivar Giaever,North America,1
Leo Esaki,Physics,1
Leo Esaki,North America,1
Le Duc Tho ,Peace,1
Konrad Lorenz,Medicine,1
Konrad Lorenz,Europe,1
Albert Claude,Medicine,1
Albert Claude,Europe,1
Gunnar Myrdal,Economic Sciences,1
Antony Hewish,Physics,1
Antony Hewish,Europe,1
Eisaku Sato,Peace,1
George E. Palade,Medicine,1
George E. Palade,North America,1
Friedrich von Hayek,Economic Sciences,1
Paul J. Flory,Chemistry,1
Paul J. Flory,North America,1
Harry Martinson,Literature,1
Seán MacBride,Peace,1
Martin Ryle,Physics,1
Martin Ryle,Europe,1
Christian de Duve,Medicine,1
Christian de Duve,North America,1
Eyvind Johnson,Literature,1
Howard M. Temin,Medicine,1
Howard M. Temin,North America,1
Ben R. Mottelson,Physics,1
Ben R. Mottelson,Europe,1
Leonid Vitaliyevich Kantorovich,Economic Sciences,1
Leonid Vitaliyevich Kantorovich,Russia,1
John Cornforth,Chemistry,1
John Cornforth,Europe,1
Tjalling C. Koopmans,Economic Sciences,1
Tjalling C. Koopmans,North America,1
Vladimir Prelog,Chemistry,1
Vladimir Prelog,Europe,1
Eugenio Montale,Literature,1
James Rainwater,Physics,1
James Rainwater,North America,1
Renato Dulbecco,Medicine,1
Renato Dulbecco,Europe,1
Aage N. Bohr,Physics,1
Aage N. Bohr,Europe,1
David Baltimore,Medicine,1
David Baltimore,North America,1
Andrei Sakharov,Peace,1
Mairead Corrigan,Peace,1
Samuel C.C. Ting,Physics,1
Samuel C.C. Ting,North America,1
William Lipscomb,Chemistry,1
William Lipscomb,North America,1
D. Carleton Gajdusek,Medicine,1
D. Carleton Gajdusek,North America,1
Baruch S. Blumberg,Medicine,1
Baruch S. Blumberg,North America,1
Burton Richter,Physics,1
Burton Richter,North America,1
Milton Friedman,Economic Sciences,1
Milton Friedman,North America,1
Betty Williams,Peace,1
Saul Bellow,Literature,1
Sir Nevill F. Mott,Physics,1
Sir Nevill F. Mott,Europe,1
Roger Guillemin,Medicine,1
Roger Guillemin,North America,1
Ilya Prigogine,Chemistry,1
Ilya Prigogine,Europe,1
Rosalyn Yalow,Medicine,1
Rosalyn Yalow,North America,1
Bertil Ohlin,Economic Sciences,1
Bertil Ohlin,Europe,1
Andrew V. Schally,Medicine,1
Andrew V. Schally,North America,1
John H. van Vleck,Physics,1
John H. van Vleck,North America,1
Vicente Aleixandre,Literature,1
Philip W. Anderson,Physics,1
Philip W. Anderson,North America,1
James E. Meade,Economic Sciences,1
James E. Meade,Europe,1
Menachem Begin,Peace,1
Anwar al-Sadat,Peace,1
Isaac Bashevis Singer,Literature,1
Werner Arber,Medicine,1
Werner Arber,Europe,1
Daniel Nathans,Medicine,1
Daniel Nathans,North America,1
Pyotr Kapitsa,Physics,1
Pyotr Kapitsa,Russia,1
Hamilton O. Smith,Medicine,1
Hamilton O. Smith,North America,1
Peter Mitchell,Chemistry,1
Peter Mitchell,Europe,1
Herbert Simon,Economic Sciences,1
Herbert Simon,North America,1
Robert Woodrow Wilson,Physics,1
Robert Woodrow Wilson,North America,1
Arno Penzias,Physics,1
Arno Penzias,North America,1
Steven Weinberg,Physics,1
Steven Weinberg,North America,1
Godfrey N. Hounsfield,Medicine,1
Godfrey N. Hounsfield,Europe,1
Theodore W. Schultz,Economic Sciences,1
Theodore W. Schultz,North America,1
Georg Wittig,Chemistry,1
Georg Wittig,Europe,1
Sir Arthur Lewis,Economic Sciences,1
Sir Arthur Lewis,North America,1
Odysseus Elytis,Literature,1
Abdus Salam,Physics,1
Abdus Salam,Europe,1
Herbert C. Brown,Chemistry,1
Herbert C. Brown,North America,1
Sheldon Glashow,Physics,1
Sheldon Glashow,North America,1
Mother Teresa ,Peace,1
Allan M. Cormack,Medicine,1
Allan M. Cormack,North America,1
Lawrence R. Klein,Economic Sciences,1
Lawrence R. Klein,North America,1
Val Fitch,Physics,1
Val Fitch,North America,1
James Cronin,Physics,1
James Cronin,North America,1
Paul Berg,Chemistry,1
Paul Berg,North America,1
Frederick Sanger,Chemistry,1
Frederick Sanger,Europe,1
Walter Gilbert,Chemistry,1
Walter Gilbert,North America,1
Adolfo Pérez Esquivel,Peace,1
Jean Dausset,Medicine,1
Jean Dausset,Europe,1
Czeslaw Milosz,Literature,1
George D. Snell,Medicine,1
George D. Snell,North America,1
Baruj Benacerraf,Medicine,1
Baruj Benacerraf,North America,1
Roald Hoffmann,Chemistry,1
Roald Hoffmann,North America,1
James Tobin,Economic Sciences,1
James Tobin,North America,1
Kenichi Fukui,Chemistry,1
Kenichi Fukui,Japan,1
Nicolaas Bloembergen,Physics,1
Nicolaas Bloembergen,North America,1
Arthur L. Schawlow,Physics,1
Arthur L. Schawlow,North America,1
